SourceFile,ExtractTimestamp,FormID,EditorID,Name,Rarity,ChildSourceFile,ChildFormID,ChildEditorID,ChildName,ChildRarity
"Starfield.esm","2026-09-02 23:25:44","000057D6","ResInorgCommonAluminum","Aluminum","Common","Starfield.esm","000057D8","ResInorgUncommonBeryllium","Beryllium","Uncommon"
"Starfield.esm","2026-09-02 23:25:44","000057D6","ResInorgCommonAluminum","Aluminum","Common","Starfield.esm","000057DB","ResInorgRareNeodymium","Neodymium","Rare"
"Starfield.esm","2026-09-02 23:25:44","000057EA","ResInorgCommonArgon_G","Argon","Common","Starfield.esm","000057E7","ResInorgUncommonBenzene_G","Benzene","Uncommon"
"Starfield.esm","2026-09-02 23:25:44","000057D5","ResInorgCommonChlorine_G","Chlorine","Common","Starfield.esm","000057D7","ResInorgUncommonChlorosilanes_L","Chlorosilanes","Uncommon"
"Starfield.esm","2026-09-02 23:25:44","000057CF","ResInorgCommonCopper","Copper","Common","Starfield.esm","000057D0","ResInorgUncommonFluorine_G","Fluorine","Uncommon"
"Starfield.esm","2026-09-02 23:25:44","000057CF","ResInorgCommonCopper","Copper","Common","Starfield.esm","000057D2","ResInorgRareGold","Gold","Rare"
"Starfield.esm","2026-09-02 23:25:44","000057F5","ResInorgCommonHelium3_G","Helium-3","Special","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057C7","ResInorgCommonIron","Iron","Common","Starfield.esm","000057C8","ResInorgRareTantalum","Tantalum","Rare"
"Starfield.esm","2026-09-02 23:25:44","000057C7","ResInorgCommonIron","Iron","Common","Starfield.esm","000057C9","ResInorgUncommonAlkanes_G","Alkanes","Uncommon"
"Starfield.esm","2026-09-02 23:25:44","000057C7","ResInorgCommonIron","Iron","Common","Starfield.esm","000057CA","ResInorgExoticYtterbium","Ytterbium","Exotic"
"Starfield.esm","2026-09-02 23:25:44","000057C1","ResInorgCommonLead","Lead","Common","Starfield.esm","000057C3","ResInorgUncommonSilver","Silver","Uncommon"
"Starfield.esm","2026-09-02 23:25:44","000057C1","ResInorgCommonLead","Lead","Common","Starfield.esm","000057C4","ResInorgUncommonTungsten","Tungsten","Uncommon"
"Starfield.esm","2026-09-02 23:25:44","000057CB","ResInorgCommonNickel","Nickel","Common","Starfield.esm","000057CE","ResInorgUncommonCobalt","Cobalt","Uncommon"
"Starfield.esm","2026-09-02 23:25:44","000057CB","ResInorgCommonNickel","Nickel","Common","Starfield.esm","000057CD","ResInorgExoticPalladium","Palladium","Exotic"
"Starfield.esm","2026-09-02 23:25:44","000057EB","ResInorgCommonUranium","Uranium","Common","Starfield.esm","000057EC","ResInorgUncommonIridium","Iridium","Uncommon"
"Starfield.esm","2026-09-02 23:25:44","000057EB","ResInorgCommonUranium","Uranium","Common","Starfield.esm","000057ED","ResInorgRareVanadium","Vanadium","Rare"
"Starfield.esm","2026-09-02 23:25:44","000057EB","ResInorgCommonUranium","Uranium","Common","Starfield.esm","000057EE","ResInorgExoticPlutonium","Plutonium","Exotic"
"Starfield.esm","2026-09-02 23:25:44","000083EC","ResInorgCommonWater_L","Water","Everywhere","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057D3","ResInorgExoticAntimony","Antimony","Exotic","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057E0","ResInorgExoticCaesium_L","Caesium","Exotic","Starfield.esm","00005DF5","ResInorgUniqueAldumite","Aldumite","Unique"
"Starfield.esm","2026-09-02 23:25:44","000057C2","ResInorgExoticDysprosium","Dysprosium","Exotic","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057E2","ResInorgExoticEuropium","Europium","Exotic","Starfield.esm","0004BA38","ResInorgUniqueIndicite","Indicite","Unique"
"Starfield.esm","2026-09-02 23:25:44","000057D4","ResInorgExoticIonicLiquids_L","Ionic Liquids","Exotic","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057E9","ResInorgExoticNeon_G","Neon","Exotic","Starfield.esm","00005DF7","ResInorgUniqueVeryl_G","Veryl","Unique"
"Starfield.esm","2026-09-02 23:25:44","000057CD","ResInorgExoticPalladium","Palladium","Exotic","Starfield.esm","00005DF6","ResInorgUniqueTasine_L","Tasine","Unique"
"Starfield.esm","2026-09-02 23:25:44","000057EE","ResInorgExoticPlutonium","Plutonium","Exotic","Starfield.esm","00005DF8","ResInorgUniqueVytinium","Vytinium","Unique"
"Starfield.esm","2026-09-02 23:25:44","000057DC","ResInorgExoticXenon_G","Xenon","Exotic","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057CA","ResInorgExoticYtterbium","Ytterbium","Exotic","Starfield.esm","00005DF1","ResInorgUniqueRothicite","Rothicite","Unique"
"Starfield.esm","2026-09-02 23:25:44","000057E8","ResInorgRareCarboxylicAcids_L","Carboxylic Acids","Rare","Starfield.esm","000057E9","ResInorgExoticNeon_G","Neon","Exotic"
"Starfield.esm","2026-09-02 23:25:44","000057D2","ResInorgRareGold","Gold","Rare","Starfield.esm","000057D3","ResInorgExoticAntimony","Antimony","Exotic"
"Starfield.esm","2026-09-02 23:25:44","000057DA","ResInorgRareLithium","Lithium","Rare","Starfield.esm","000057DC","ResInorgExoticXenon_G","Xenon","Exotic"
"Starfield.esm","2026-09-02 23:25:44","000057DA","ResInorgRareLithium","Lithium","Rare","Starfield.esm","000057E0","ResInorgExoticCaesium_L","Caesium","Exotic"
"Starfield.esm","2026-09-02 23:25:44","0027C499","ResInorgRareMercury_L","Mercury","Rare","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057DB","ResInorgRareNeodymium","Neodymium","Rare","Starfield.esm","000057E2","ResInorgExoticEuropium","Europium","Exotic"
"Starfield.esm","2026-09-02 23:25:44","000057CC","ResInorgRarePlatinum","Platinum","Rare","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057C8","ResInorgRareTantalum","Tantalum","Rare","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057D1","ResInorgRareTetrafluorides_G","Tetrafluorides","Rare","Starfield.esm","000057D4","ResInorgExoticIonicLiquids_L","Ionic Liquids","Exotic"
"Starfield.esm","2026-09-02 23:25:44","000057C6","ResInorgRareTitanium","Titanium","Rare","Starfield.esm","000057C2","ResInorgExoticDysprosium","Dysprosium","Exotic"
"Starfield.esm","2026-09-02 23:25:44","000057ED","ResInorgRareVanadium","Vanadium","Rare","","","","",""
